"group";"ISOweek";"N"
"45to64";"2019-W26";1533114.57142857
"45to64";"2019-W27";1533255.85714286
"45to64";"2019-W28";1533283.85714286
"45to64";"2019-W29";1533498.14285714
"45to64";"2019-W30";1533688.85714286
"45to64";"2019-W31";1533971.57142857
"45to64";"2019-W32";1533996
"45to64";"2019-W33";1534199.14285714
"45to64";"2019-W34";1534427.85714286
"45to64";"2019-W35";1534713.28571429
"45to64";"2019-W36";1534776.57142857
"45to64";"2019-W37";1535061.42857143
"45to64";"2019-W38";1535342.85714286
"45to64";"2019-W39";1535547.57142857
"45to64";"2019-W40";1535706.42857143
"45to64";"2019-W41";1535756.42857143
"45to64";"2019-W42";1535945.28571429
"45to64";"2019-W43";1536091.85714286
"45to64";"2019-W44";1536308.14285714
"45to64";"2019-W45";1536247.14285714
"45to64";"2019-W46";1536370
"45to64";"2019-W47";1536443.71428571
"45to64";"2019-W48";1536578.85714286
"45to64";"2019-W49";1536600.71428571
"45to64";"2019-W50";1536690.28571429
"45to64";"2019-W51";1536728.57142857
"45to64";"2019-W52";1536748.85714286
"45to64";"2020-W01";1536675.71428571
"45to64";"2020-W02";1536952.28571429
"45to64";"2020-W03";1537195.71428571
"45to64";"2020-W04";1537282.57142857
"45to64";"2020-W05";1537438.42857143
"45to64";"2020-W06";1537506.28571429
"45to64";"2020-W07";1537726.28571429
"45to64";"2020-W08";1537894.42857143
"45to64";"2020-W09";1538118
"45to64";"2020-W10";1538185.14285714
"45to64";"2020-W11";1538283.42857143
"45to64";"2020-W12";1538338.57142857
"45to64";"2020-W13";1538527.42857143
"45to64";"2020-W14";1538668.71428571
"45to64";"2020-W15";1538700.85714286
"45to64";"2020-W16";1538933.14285714
"45to64";"2020-W17";1539074
"45to64";"2020-W18";1539229.71428571
"45to64";"2020-W19";1539293.28571429
"45to64";"2020-W20";1539408.57142857
"45to64";"2020-W21";1539508.42857143
"45to64";"2020-W22";1539593.28571429
"65to74";"2014-W27";623891.142857143
"65to74";"2014-W28";624044.571428571
"65to74";"2014-W29";624243.714285714
"65to74";"2014-W30";624459.571428571
"65to74";"2014-W31";624683.428571429
"65to74";"2014-W32";624919.428571429
"65to74";"2014-W33";625170.142857143
"65to74";"2014-W34";625392.428571429
"65to74";"2014-W35";625673.571428571
"65to74";"2014-W36";625903.571428571
"65to74";"2014-W37";626039
"65to74";"2014-W38";626193.428571429
"65to74";"2014-W39";626346.285714286
"65to74";"2014-W40";626672
